cate,price
198,99
198,199
198,299
198,499
198,799
198,800
200,199
200,499
200,799
200,800
196,299
196,499
196,799
196,800
105,299
105,499
105,799
105,800
155,299
155,499
155,699
155,999
155,1000
156,299
156,499
156,699
156,999
156,1000
106,199
106,399
106,699
106,999
106,1000
125,299
125,499
125,699
125,999
125,1000
126,299
126,499
126,699
126,999
126,1000
130,299
130,499
130,699
130,1199
130,1200
132,299
132,499
132,799
132,999
132,1000
166,299
166,499
166,799
166,999
166,1000
154,299
154,499
154,500
164,39
164,100
164,100
211,199
211,299
211,399
211,400
159,199
159,299
159,399
159,400
15,499
15,799
15,1299
15,1999
15,2999
15,3000
14,899
14,1299
14,1999
14,2999
14,3000
18,499
18,999
18,1599
18,2999
18,3000
47,599
47,999
47,1599
47,2999
47,3000
20,499
20,899
20,1599
20,2599
20,2600
21,299
21,399
21,499
21,500
26,399
26,699
26,1299
26,1300
25,399
25,599
25,999
25,1000
28,899
28,1599
28,2999
28,3000
27,499
27,699
27,899
27,1599
27,1600
29,599
29,799
29,999
29,1000
46,899
46,1399
46,2499
46,2500
24,599
24,899
24,1599
24,1600
